年月,類別,年齡,筆數(衣),金額(衣)
103年01月,衣,0[含]-20,3755,8508927
103年01月,衣,0[含]-20,3755,188940440
103年01月,衣,0[含]-20,3755,586978455
103年01月,衣,0[含]-20,3755,1040481032
103年01月,衣,0[含]-20,3755,1212533328
103年01月,衣,0[含]-20,3755,1211674958
103年01月,衣,0[含]-20,3755,1120044160
103年01月,衣,0[含]-20,3755,820454844
103年01月,衣,0[含]-20,3755,521380316
103年01月,衣,0[含]-20,3755,270662886
103年01月,衣,0[含]-20,3755,83289633
103年01月,衣,0[含]-20,3755,30919296
103年01月,衣,0[含]-20,3755,10132954
103年01月,衣,0[含]-20,3755,25072328
103年01月,衣,20[含]-25,80083,8508927
103年01月,衣,20[含]-25,80083,188940440
103年01月,衣,20[含]-25,80083,586978455
103年01月,衣,20[含]-25,80083,1040481032
103年01月,衣,20[含]-25,80083,1212533328
103年01月,衣,20[含]-25,80083,1211674958
103年01月,衣,20[含]-25,80083,1120044160
103年01月,衣,20[含]-25,80083,820454844
103年01月,衣,20[含]-25,80083,521380316
103年01月,衣,20[含]-25,80083,270662886
103年01月,衣,20[含]-25,80083,83289633
103年01月,衣,20[含]-25,80083,30919296
103年01月,衣,20[含]-25,80083,10132954
103年01月,衣,20[含]-25,80083,25072328
103年01月,衣,25[含]-30,230807,8508927
103年01月,衣,25[含]-30,230807,188940440
103年01月,衣,25[含]-30,230807,586978455
103年01月,衣,25[含]-30,230807,1040481032
103年01月,衣,25[含]-30,230807,1212533328
103年01月,衣,25[含]-30,230807,1211674958
103年01月,衣,25[含]-30,230807,1120044160
103年01月,衣,25[含]-30,230807,820454844
103年01月,衣,25[含]-30,230807,521380316
103年01月,衣,25[含]-30,230807,270662886
103年01月,衣,25[含]-30,230807,83289633
103年01月,衣,25[含]-30,230807,30919296
103年01月,衣,25[含]-30,230807,10132954
103年01月,衣,25[含]-30,230807,25072328
103年01月,衣,30[含]-35,398551,8508927
103年01月,衣,30[含]-35,398551,188940440
103年01月,衣,30[含]-35,398551,586978455
103年01月,衣,30[含]-35,398551,1040481032
103年01月,衣,30[含]-35,398551,1212533328
103年01月,衣,30[含]-35,398551,1211674958
103年01月,衣,30[含]-35,398551,1120044160
103年01月,衣,30[含]-35,398551,820454844
103年01月,衣,30[含]-35,398551,521380316
103年01月,衣,30[含]-35,398551,270662886
103年01月,衣,30[含]-35,398551,83289633
103年01月,衣,30[含]-35,398551,30919296
103年01月,衣,30[含]-35,398551,10132954
103年01月,衣,30[含]-35,398551,25072328
103年01月,衣,35[含]-40,453940,8508927
103年01月,衣,35[含]-40,453940,188940440
103年01月,衣,35[含]-40,453940,586978455
103年01月,衣,35[含]-40,453940,1040481032
103年01月,衣,35[含]-40,453940,1212533328
103年01月,衣,35[含]-40,453940,1211674958
103年01月,衣,35[含]-40,453940,1120044160
103年01月,衣,35[含]-40,453940,820454844
103年01月,衣,35[含]-40,453940,521380316
103年01月,衣,35[含]-40,453940,270662886
103年01月,衣,35[含]-40,453940,83289633
103年01月,衣,35[含]-40,453940,30919296
103年01月,衣,35[含]-40,453940,10132954
103年01月,衣,35[含]-40,453940,25072328
103年01月,衣,40[含]-45,420302,8508927
103年01月,衣,40[含]-45,420302,188940440
103年01月,衣,40[含]-45,420302,586978455
103年01月,衣,40[含]-45,420302,1040481032
103年01月,衣,40[含]-45,420302,1212533328
103年01月,衣,40[含]-45,420302,1211674958
103年01月,衣,40[含]-45,420302,1120044160
103年01月,衣,40[含]-45,420302,820454844
103年01月,衣,40[含]-45,420302,521380316
103年01月,衣,40[含]-45,420302,270662886
103年01月,衣,40[含]-45,420302,83289633
103年01月,衣,40[含]-45,420302,30919296
103年01月,衣,40[含]-45,420302,10132954
103年01月,衣,40[含]-45,420302,25072328
103年01月,衣,45[含]-50,344288,8508927
103年01月,衣,45[含]-50,344288,188940440
103年01月,衣,45[含]-50,344288,586978455
103年01月,衣,45[含]-50,344288,1040481032
103年01月,衣,45[含]-50,344288,1212533328
103年01月,衣,45[含]-50,344288,1211674958
103年01月,衣,45[含]-50,344288,1120044160
103年01月,衣,45[含]-50,344288,820454844
103年01月,衣,45[含]-50,344288,521380316
103年01月,衣,45[含]-50,344288,270662886
103年01月,衣,45[含]-50,344288,83289633
103年01月,衣,45[含]-50,344288,30919296
103年01月,衣,45[含]-50,344288,10132954
103年01月,衣,45[含]-50,344288,25072328
103年01月,衣,50[含]-55,220779,8508927
103年01月,衣,50[含]-55,220779,188940440
103年01月,衣,50[含]-55,220779,586978455
103年01月,衣,50[含]-55,220779,1040481032
103年01月,衣,50[含]-55,220779,1212533328
103年01月,衣,50[含]-55,220779,1211674958
103年01月,衣,50[含]-55,220779,1120044160
103年01月,衣,50[含]-55,220779,820454844
103年01月,衣,50[含]-55,220779,521380316
103年01月,衣,50[含]-55,220779,270662886
103年01月,衣,50[含]-55,220779,83289633
103年01月,衣,50[含]-55,220779,30919296
103年01月,衣,50[含]-55,220779,10132954
103年01月,衣,50[含]-55,220779,25072328
103年01月,衣,55[含]-60,125173,8508927
103年01月,衣,55[含]-60,125173,188940440
103年01月,衣,55[含]-60,125173,586978455
103年01月,衣,55[含]-60,125173,1040481032
103年01月,衣,55[含]-60,125173,1212533328
103年01月,衣,55[含]-60,125173,1211674958
103年01月,衣,55[含]-60,125173,1120044160
103年01月,衣,55[含]-60,125173,820454844
103年01月,衣,55[含]-60,125173,521380316
103年01月,衣,55[含]-60,125173,270662886
103年01月,衣,55[含]-60,125173,83289633
103年01月,衣,55[含]-60,125173,30919296
103年01月,衣,55[含]-60,125173,10132954
103年01月,衣,55[含]-60,125173,25072328
103年01月,衣,60[含]-65,63680,8508927
103年01月,衣,60[含]-65,63680,188940440
103年01月,衣,60[含]-65,63680,586978455
103年01月,衣,60[含]-65,63680,1040481032
103年01月,衣,60[含]-65,63680,1212533328
103年01月,衣,60[含]-65,63680,1211674958
103年01月,衣,60[含]-65,63680,1120044160
103年01月,衣,60[含]-65,63680,820454844
103年01月,衣,60[含]-65,63680,521380316
103年01月,衣,60[含]-65,63680,270662886
103年01月,衣,60[含]-65,63680,83289633
103年01月,衣,60[含]-65,63680,30919296
103年01月,衣,60[含]-65,63680,10132954
103年01月,衣,60[含]-65,63680,25072328
103年01月,衣,65[含]-70,19920,8508927
103年01月,衣,65[含]-70,19920,188940440
103年01月,衣,65[含]-70,19920,586978455
103年01月,衣,65[含]-70,19920,1040481032
103年01月,衣,65[含]-70,19920,1212533328
103年01月,衣,65[含]-70,19920,1211674958
103年01月,衣,65[含]-70,19920,1120044160
103年01月,衣,65[含]-70,19920,820454844
103年01月,衣,65[含]-70,19920,521380316
