年月,類別,0[含]-20[筆數],0[含]-20[金額，新台幣],20[含]-25[筆數],20[含]-25[金額，新台幣],25[含]-30[筆數],25[含]-30[金額，新台幣],30[含]-35[筆數],30[含]-35[金額，新台幣],35[含]-40[筆數],35[含]-40[金額，新台幣],40[含]-45[筆數],40[含]-45[金額，新台幣],45[含]-50[筆數],45[含]-50[金額，新台幣],50[含]-55[筆數],50[含]-55[金額，新台幣],55[含]-60[筆數],55[含]-60[金額，新台幣],60[含]-65[筆數],60[含]-65[金額，新台幣],65[含]-70[筆數],65[含]-70[金額，新台幣],70[含]-75[筆數],70[含]-75[金額，新台幣],75[含]-80[筆數],75[含]-80[金額，新台幣],80[含]以上[筆數],80[含]以上[金額，新台幣]
103年01月,衣,3755,8508927,80083,188940440,230807,586978455,398551,1040481032,453940,1212533328,420302,1211674958,344288,1120044160,220779,820454844,125173,521380316,63680,270662886,19920,83289633,6854,30919296,2185,10132954,6054,25072328
103年02月,衣,2939,6535489,60646,136091899,159889,391019259,261602,660495784,276657,698346989,248245,669338672,212537,646888132,150475,525241156,88873,349343553,46319,182950676,14054,54841596,5096,20172473,1594,6305348,3812,15643522
103年03月,衣,3107,7243289,68311,144471637,188035,449787205,310964,765980213,320437,815304810,268582,732086988,223570,698210701,158918,565746240,99317,388657414,52801,209815925,16895,67062070,5655,23343381,1840,7988782,4384,17243365
103年04月,衣,2931,6479200,65832,136350578,186134,433262083,314754,770228133,326539,810477878,269685,715712832,217284,655811451,151338,530499761,92697,368586346,49805,199579275,16467,70120103,5756,26314629,1807,7864012,4436,17856249
103年05月,衣,3453,6978353,76301,153229898,208068,474854234,340456,816598032,353968,868504176,299219,787938115,241546,727435732,166000,567083432,100804,381452202,54117,210813246,17724,71241681,6108,23863515,1959,7969088,4863,19076474
103年06月,衣,3671,7994526,77738,152306794,206598,452050550,334502,765637751,348615,824546454,299882,769370047,246608,707359051,167215,554631547,99823,362484779,53203,200736002,17747,64303836,6479,25311376,2109,9662929,4794,17631921
103年07月,衣,3839,8348699,75391,144718005,208524,443997777,340998,766429797,367873,838711034,319022,779691350,267694,748460722,180961,568584619,106625,373982080,56265,200586815,18033,65030612,6295,23580933,1997,8042018,5093,18858955
103年08月,衣,4014,8240001,75256,145095736,200403,425596370,331575,731156579,362713,803808404,319661,754797122,270945,721405748,185624,567566537,108537,368053307,56730,195918300,18365,63693374,6257,22205955,2004,7733053,4791,17790510
103年09月,衣,4046,7791857,72178,144556062,189031,432826166,303299,727426145,313748,768834974,260106,690195050,221823,674261054,158728,535960082,96677,362396751,50910,198515471,16845,68090423,5372,22816896,1707,7184617,4209,17885681
103年10月,衣,4723,9606724,85764,184976307,218290,533581272,351410,899093988,363813,942049710,286212,797640066,234578,735278458,164043,565380184,101459,395810505,55231,222640397,18146,77919414,6139,28071804,1905,9347607,4846,21792509
103年11月,衣,4248,9494974,80555,184711642,208463,537362571,336982,901458245,362031,991928697,290093,857141885,234117,786991139,158589,601809147,96396,401455649,53277,230732790,18029,81490077,6193,27361626,1987,9429159,4860,22583959
103年12月,衣,5578,13152916,103065,235783813,259248,658134936,421665,1108410596,465888,1268890731,386170,1128557869,311439,1028562993,206753,785771596,124138,522672944,67751,292948430,24069,108216802,8082,38522848,2792,11828233,6076,27640513
104年01月,衣,3801,9323629,81520,182216273,217268,540103912,364544,939855595,405176,1078384826,342782,996880708,291641,972331984,203214,753139211,121410,504940438,66709,285123123,23768,105305938,7583,34904612,2527,11632297,5536,24888879
104年02月,衣,4533,11897353,88331,209098572,218847,561977919,353036,917520349,411992,1073100111,378741,1044814797,325650,989608836,214580,731704874,117972,449368718,62122,246825030,20322,82503185,6576,27396205,2097,9046200,5093,20600185
104年03月,衣,4236,8680961,83911,174620450,206295,488155021,333001,822076028,353474,886763505,281819,767520765,235884,731293082,171442,590020566,108789,431279545,61898,251019374,21896,88209020,6800,30083982,2236,9734813,4512,22655168
104年04月,衣,3703,7504674,81985,164605906,214968,490686652,351050,844049048,372350,913408645,295887,786156214,246386,736041652,174342,588681931,107289,416464404,60738,242100221,21681,90909455,6772,31275784,2303,10709975,4707,18989127
104年05月,衣,4630,9176910,92518,181783366,234790,521137690,376728,878314969,408981,977660540,334681,861823591,279627,808532506,198770,648243354,121350,452960946,67711,256810686,24874,93299547,7765,30190163,2759,11876405,5182,21613498
104年06月,衣,4989,9476262,99364,187652824,243503,511739346,378663,841409189,401088,914735103,327566,812716158,276845,773200661,192034,600566288,113685,396024110,63509,230440566,22894,89909384,7383,26972824,2502,10128154,5047,18661216
104年07月,衣,5505,10532997,93713,168911333,233108,475072383,369008,801582456,404683,890999043,340544,808968150,294743,793933138,205521,616566424,119149,402820110,65987,229241398,23769,80800969,7268,24731290,2529,9746053,5047,18406549
104年08月,衣,5139,9273494,87221,161090589,219055,451737241,343455,740325376,376681,815254832,320261,740827379,277288,730336662,193489,586726292,114021,373811776,62619,214099629,22596,76828634,6695,21719135,2287,8640517,4766,17633152
104年09月,衣,5245,9771953,86746,170621497,218094,488417949,335726,791938725,351152,839244510,279077,736422474,243974,709300200,177658,601885006,107987,419194044,59778,227019288,21837,87195792,6543,27202921,2166,9065939,4644,19406055
104年10月,衣,5844,12054259,102759,209376694,256252,599136979,392339,962651583,413251,1032182781,315882,842899154,265402,782270223,190893,652934556,118845,450428303,67827,270601126,24652,99588223,7183,28386762,2643,11424396,5152,21933619
104年11月,衣,5751,10818101,99280,208095562,242841,575028257,370184,922414272,396898,1020488812,302612,842981078,246841,773005041,173862,628516113,106572,424401565,61078,261456611,22801,97982809,6548,30304848,2424,11186959,5036,21611161
104年12月,衣,7522,14959460,121451,254284185,295235,691296001,458373,1120623198,506588,1288829864,398388,1087536168,321114,970905306,218984,764641540,130791,503599208,75382,300669736,29102,117884697,8642,34747239,3086,13736440,6192,26588419
105年01月,衣,5278,11481617,102588,215968119,269398,623724750,436204,1055829964,506892,1264415432,421033,1135411723,351126,1062706388,238522,826138559,138976,537426767,78052,306866319,30249,120013706,8148,34625302,2957,14356038,6147,24998676
105年02月,衣,5254,10901867,91453,202096312,219891,529449264,334564,828200455,386041,961524510,337179,881889327,303420,874047522,212995,692982233,120901,443042861,64913,257010528,23686,92728904,6422,24095206,2373,9692551,4835,19863313
105年03月,衣,4487,9048397,81661,162678135,200240,456632246,302605,733625057,318337,790282348,246607,657692231,211914,629400271,159118,545595561,101849,389450242,59785,234346374,23516,92204237,6245,24890140,2215,9032833,4270,18746241
105年04月,衣,4849,9085389,93477,173893775,240663,514566957,379161,860273763,413964,957370326,322467,792279441,265718,722386804,190222,601143227,114923,401660438,66804,243914879,26913,100031007,7523,28817685,2732,12567729,1076,4494500
105年05月,衣,5460,9555633,103766,190609453,253320,531927026,385035,850855730,423510,952583880,336829,819856124,282058,759650631,203967,621224871,124343,417396435,71295,252961830,29185,101914953,8110,30465178,2995,11789165,1076,4785300
105年06月,衣,6167,10483393,109275,192877570,265867,532141127,398108,852888755,439046,964821260,351860,834239782,295290,774300995,210011,621498382,123829,403587281,69911,237386966,28459,98678641,7738,25098930,2937,11861479,5249,20111475
105年07月,衣,6085,11076204,99939,170564654,251381,493719246,374706,772427288,419909,874551297,350608,788877822,302819,743639227,214266,606026376,124479,386465232,68822,222067004,27647,86678177,7382,23023912,2661,8085114,5239,18773842
105年08月,衣,6014,10395259,89861,158913927,223380,448829550,334186,694187734,375173,779967671,314716,700034538,277981,689515654,203617,578668084,121911,379936009,69650,227492443,28484,92634904,7527,23570201,2893,10800749,4973,16920791
105年09月,衣,5600,9630912,79946,147949704,203007,440068245,300263,678676418,324509,735021160,253786,620400828,218334,584190297,163740,502197294,99133,341399776,57599,209695829,23232,87683987,6045,23223279,2248,8994717,4183,17842620
105年10月,衣,5803,11006837,90960,174188490,234093,525375284,338820,803858376,367747,870412983,288653,719663377,240285,669192262,177560,568141628,108979,389761523,63768,237608684,26169,97990778,7009,26058123,2445,10176456,4747,19866590
105年11月,衣,6122,11849305,95666,199115790,235787,557926155,347646,864118791,396760,1007001456,314333,868090467,247622,759992645,176059,616523163,107928,429998017,64161,270632749,26580,111111681,7204,29324471,2829,12823563,5112,22410590
105年12月,衣,7693,14912933,116869,238788197,294467,683422273,426167,1036400642,492887,1228023021,412440,1101238270,327381,973551677,229349,779470934,134677,510541177,78435,306453248,34059,136704784,9265,36514065,3504,14933975,6140,24396117
106年01月,衣,6099,12449348,101710,216957376,259367,612658260,386364,940446354,480963,1181538132,432318,1137724572,355891,1039838719,242915,794956304,136825,501495554,76114,291880500,33343,126306165,8760,33754202,3177,12289201,6065,25164741
106年02月,衣,5360,10365460,83369,168696288,199553,452013329,283123,662288944,327544,762947891,280120,694512523,239570,654665280,179120,563247553,108727,379487157,62280,230001844,27754,107000241,7222,25521542,2589,10079194,4117,16537926
106年03月,衣,4747,8728767,83265,157749405,207108,451026890,297839,678323396,338991,783854447,273918,681826237,227177,648087927,173800,565295892,112576,402787414,67119,255981814,30664,124529434,8233,31818063,2794,11781496,4347,18489799
106年04月,衣,5119,8983238,89231,161694075,229234,484880220,340548,760214237,399325,892925295,328102,769004454,266839,704906777,194347,585802841,121234,411520751,71418,254463022,32299,115725826,8652,30926660,3047,12379691,4686,19004906
106年05月,衣,5915,9829049,99067,174979117,244416,506114811,356045,769799032,418263,922128629,347970,819586761,289077,766700271,213193,639240523,132358,453140610,78537,280467170,35822,127405590,9849,37603854,3565,12947308,5185,19520107
