年月,類別,年齡,筆數(食),金額(食)
103年01月,食,0[含]-20,11424,19735674
103年01月,食,0[含]-20,11424,287356853
103年01月,食,0[含]-20,11424,1279850142
103年01月,食,0[含]-20,11424,2632920544
103年01月,食,0[含]-20,11424,3439299617
103年01月,食,0[含]-20,11424,3744015542
103年01月,食,0[含]-20,11424,3561357770
103年01月,食,0[含]-20,11424,2928097746
103年01月,食,0[含]-20,11424,2114146945
103年01月,食,0[含]-20,11424,1337749581
103年01月,食,0[含]-20,11424,478944788
103年01月,食,0[含]-20,11424,214941908
103年01月,食,0[含]-20,11424,86900297
103年01月,食,0[含]-20,11424,78367457
103年01月,食,20[含]-25,241527,19735674
103年01月,食,20[含]-25,241527,287356853
103年01月,食,20[含]-25,241527,1279850142
103年01月,食,20[含]-25,241527,2632920544
103年01月,食,20[含]-25,241527,3439299617
103年01月,食,20[含]-25,241527,3744015542
103年01月,食,20[含]-25,241527,3561357770
103年01月,食,20[含]-25,241527,2928097746
103年01月,食,20[含]-25,241527,2114146945
103年01月,食,20[含]-25,241527,1337749581
103年01月,食,20[含]-25,241527,478944788
103年01月,食,20[含]-25,241527,214941908
103年01月,食,20[含]-25,241527,86900297
103年01月,食,20[含]-25,241527,78367457
103年01月,食,25[含]-30,912864,19735674
103年01月,食,25[含]-30,912864,287356853
103年01月,食,25[含]-30,912864,1279850142
103年01月,食,25[含]-30,912864,2632920544
103年01月,食,25[含]-30,912864,3439299617
103年01月,食,25[含]-30,912864,3744015542
103年01月,食,25[含]-30,912864,3561357770
103年01月,食,25[含]-30,912864,2928097746
103年01月,食,25[含]-30,912864,2114146945
103年01月,食,25[含]-30,912864,1337749581
103年01月,食,25[含]-30,912864,478944788
103年01月,食,25[含]-30,912864,214941908
103年01月,食,25[含]-30,912864,86900297
103年01月,食,25[含]-30,912864,78367457
103年01月,食,30[含]-35,1731682,19735674
103年01月,食,30[含]-35,1731682,287356853
103年01月,食,30[含]-35,1731682,1279850142
103年01月,食,30[含]-35,1731682,2632920544
103年01月,食,30[含]-35,1731682,3439299617
103年01月,食,30[含]-35,1731682,3744015542
103年01月,食,30[含]-35,1731682,3561357770
103年01月,食,30[含]-35,1731682,2928097746
103年01月,食,30[含]-35,1731682,2114146945
103年01月,食,30[含]-35,1731682,1337749581
103年01月,食,30[含]-35,1731682,478944788
103年01月,食,30[含]-35,1731682,214941908
103年01月,食,30[含]-35,1731682,86900297
103年01月,食,30[含]-35,1731682,78367457
103年01月,食,35[含]-40,2175747,19735674
103年01月,食,35[含]-40,2175747,287356853
103年01月,食,35[含]-40,2175747,1279850142
103年01月,食,35[含]-40,2175747,2632920544
103年01月,食,35[含]-40,2175747,3439299617
103年01月,食,35[含]-40,2175747,3744015542
103年01月,食,35[含]-40,2175747,3561357770
103年01月,食,35[含]-40,2175747,2928097746
103年01月,食,35[含]-40,2175747,2114146945
103年01月,食,35[含]-40,2175747,1337749581
103年01月,食,35[含]-40,2175747,478944788
103年01月,食,35[含]-40,2175747,214941908
103年01月,食,35[含]-40,2175747,86900297
103年01月,食,35[含]-40,2175747,78367457
103年01月,食,40[含]-45,2256695,19735674
103年01月,食,40[含]-45,2256695,287356853
103年01月,食,40[含]-45,2256695,1279850142
103年01月,食,40[含]-45,2256695,2632920544
103年01月,食,40[含]-45,2256695,3439299617
103年01月,食,40[含]-45,2256695,3744015542
103年01月,食,40[含]-45,2256695,3561357770
103年01月,食,40[含]-45,2256695,2928097746
103年01月,食,40[含]-45,2256695,2114146945
103年01月,食,40[含]-45,2256695,1337749581
103年01月,食,40[含]-45,2256695,478944788
103年01月,食,40[含]-45,2256695,214941908
103年01月,食,40[含]-45,2256695,86900297
103年01月,食,40[含]-45,2256695,78367457
103年01月,食,45[含]-50,2103541,19735674
103年01月,食,45[含]-50,2103541,287356853
103年01月,食,45[含]-50,2103541,1279850142
103年01月,食,45[含]-50,2103541,2632920544
103年01月,食,45[含]-50,2103541,3439299617
103年01月,食,45[含]-50,2103541,3744015542
103年01月,食,45[含]-50,2103541,3561357770
103年01月,食,45[含]-50,2103541,2928097746
103年01月,食,45[含]-50,2103541,2114146945
103年01月,食,45[含]-50,2103541,1337749581
103年01月,食,45[含]-50,2103541,478944788
103年01月,食,45[含]-50,2103541,214941908
103年01月,食,45[含]-50,2103541,86900297
103年01月,食,45[含]-50,2103541,78367457
103年01月,食,50[含]-55,1658880,19735674
103年01月,食,50[含]-55,1658880,287356853
103年01月,食,50[含]-55,1658880,1279850142
103年01月,食,50[含]-55,1658880,2632920544
103年01月,食,50[含]-55,1658880,3439299617
103年01月,食,50[含]-55,1658880,3744015542
103年01月,食,50[含]-55,1658880,3561357770
103年01月,食,50[含]-55,1658880,2928097746
103年01月,食,50[含]-55,1658880,2114146945
103年01月,食,50[含]-55,1658880,1337749581
103年01月,食,50[含]-55,1658880,478944788
103年01月,食,50[含]-55,1658880,214941908
103年01月,食,50[含]-55,1658880,86900297
103年01月,食,50[含]-55,1658880,78367457
103年01月,食,55[含]-60,1171728,19735674
103年01月,食,55[含]-60,1171728,287356853
103年01月,食,55[含]-60,1171728,1279850142
103年01月,食,55[含]-60,1171728,2632920544
103年01月,食,55[含]-60,1171728,3439299617
103年01月,食,55[含]-60,1171728,3744015542
103年01月,食,55[含]-60,1171728,3561357770
103年01月,食,55[含]-60,1171728,2928097746
103年01月,食,55[含]-60,1171728,2114146945
103年01月,食,55[含]-60,1171728,1337749581
103年01月,食,55[含]-60,1171728,478944788
103年01月,食,55[含]-60,1171728,214941908
103年01月,食,55[含]-60,1171728,86900297
103年01月,食,55[含]-60,1171728,78367457
103年01月,食,60[含]-65,757042,19735674
103年01月,食,60[含]-65,757042,287356853
103年01月,食,60[含]-65,757042,1279850142
103年01月,食,60[含]-65,757042,2632920544
103年01月,食,60[含]-65,757042,3439299617
103年01月,食,60[含]-65,757042,3744015542
103年01月,食,60[含]-65,757042,3561357770
103年01月,食,60[含]-65,757042,2928097746
103年01月,食,60[含]-65,757042,2114146945
103年01月,食,60[含]-65,757042,1337749581
103年01月,食,60[含]-65,757042,478944788
103年01月,食,60[含]-65,757042,214941908
103年01月,食,60[含]-65,757042,86900297
103年01月,食,60[含]-65,757042,78367457
103年01月,食,65[含]-70,294047,19735674
103年01月,食,65[含]-70,294047,287356853
103年01月,食,65[含]-70,294047,1279850142
103年01月,食,65[含]-70,294047,2632920544
103年01月,食,65[含]-70,294047,3439299617
103年01月,食,65[含]-70,294047,3744015542
103年01月,食,65[含]-70,294047,3561357770
103年01月,食,65[含]-70,294047,2928097746
103年01月,食,65[含]-70,294047,2114146945
103年01月,食,65[含]-70,294047,1337749581
103年01月,食,65[含]-70,294047,478944788
103年01月,食,65[含]-70,294047,214941908
103年01月,食,65[含]-70,294047,86900297
103年01月,食,65[含]-70,294047,78367457
103年01月,食,70[含]-75,134747,19735674
103年01月,食,70[含]-75,134747,287356853
103年01月,食,70[含]-75,134747,1279850142
103年01月,食,70[含]-75,134747,2632920544
103年01月,食,70[含]-75,134747,3439299617
103年01月,食,70[含]-75,134747,3744015542
103年01月,食,70[含]-75,134747,3561357770
103年01月,食,70[含]-75,134747,2928097746
103年01月,食,70[含]-75,134747,2114146945
103年01月,食,70[含]-75,134747,1337749581
103年01月,食,70[含]-75,134747,478944788
103年01月,食,70[含]-75,134747,214941908
103年01月,食,70[含]-75,134747,86900297
103年01月,食,70[含]-75,134747,78367457
103年01月,食,75[含]-80,54827,19735674
103年01月,食,75[含]-80,54827,287356853
103年01月,食,75[含]-80,54827,1279850142
103年01月,食,75[含]-80,54827,2632920544
103年01月,食,75[含]-80,54827,3439299617
103年01月,食,75[含]-80,54827,3744015542
103年01月,食,75[含]-80,54827,3561357770
103年01月,食,75[含]-80,54827,2928097746
103年01月,食,75[含]-80,54827,2114146945
103年01月,食,75[含]-80,54827,1337749581
103年01月,食,75[含]-80,54827,478944788
103年01月,食,75[含]-80,54827,214941908
103年01月,食,75[含]-80,54827,86900297
103年01月,食,75[含]-80,54827,78367457
103年01月,食,80[含]以上,44952,19735674
103年01月,食,80[含]以上,44952,287356853
103年01月,食,80[含]以上,44952,1279850142
103年01月,食,80[含]以上,44952,2632920544
103年01月,食,80[含]以上,44952,3439299617
103年01月,食,80[含]以上,44952,3744015542
103年01月,食,80[含]以上,44952,3561357770
103年01月,食,80[含]以上,44952,2928097746
103年01月,食,80[含]以上,44952,2114146945
103年01月,食,80[含]以上,44952,1337749581
103年01月,食,80[含]以上,44952,478944788
103年01月,食,80[含]以上,44952,214941908
103年01月,食,80[含]以上,44952,86900297
103年01月,食,80[含]以上,44952,78367457
103年02月,食,0[含]-20,9929,15124668
103年02月,食,0[含]-20,9929,228548055
103年02月,食,0[含]-20,9929,960572952
103年02月,食,0[含]-20,9929,1848257137
103年02月,食,0[含]-20,9929,2262150808
103年02月,食,0[含]-20,9929,2368481437
103年02月,食,0[含]-20,9929,2288566178
103年02月,食,0[含]-20,9929,1860987178
103年02月,食,0[含]-20,9929,1331941769
103年02月,食,0[含]-20,9929,843432616
103年02月,食,0[含]-20,9929,330491773
103年02月,食,0[含]-20,9929,145874523
103年02月,食,0[含]-20,9929,64725016
103年02月,食,0[含]-20,9929,58022111
103年02月,食,20[含]-25,205994,15124668
103年02月,食,20[含]-25,205994,228548055
103年02月,食,20[含]-25,205994,960572952
103年02月,食,20[含]-25,205994,1848257137
103年02月,食,20[含]-25,205994,2262150808
103年02月,食,20[含]-25,205994,2368481437
103年02月,食,20[含]-25,205994,2288566178
103年02月,食,20[含]-25,205994,1860987178
103年02月,食,20[含]-25,205994,1331941769
103年02月,食,20[含]-25,205994,843432616
103年02月,食,20[含]-25,205994,330491773
103年02月,食,20[含]-25,205994,145874523
103年02月,食,20[含]-25,205994,64725016
103年02月,食,20[含]-25,205994,58022111
103年02月,食,25[含]-30,765577,15124668
103年02月,食,25[含]-30,765577,228548055
103年02月,食,25[含]-30,765577,960572952
103年02月,食,25[含]-30,765577,1848257137
103年02月,食,25[含]-30,765577,2262150808
103年02月,食,25[含]-30,765577,2368481437
103年02月,食,25[含]-30,765577,2288566178
103年02月,食,25[含]-30,765577,1860987178
103年02月,食,25[含]-30,765577,1331941769
103年02月,食,25[含]-30,765577,843432616
103年02月,食,25[含]-30,765577,330491773
103年02月,食,25[含]-30,765577,145874523
103年02月,食,25[含]-30,765577,64725016
103年02月,食,25[含]-30,765577,58022111
103年02月,食,30[含]-35,1432914,15124668
103年02月,食,30[含]-35,1432914,228548055
103年02月,食,30[含]-35,1432914,960572952
103年02月,食,30[含]-35,1432914,1848257137
103年02月,食,30[含]-35,1432914,2262150808
103年02月,食,30[含]-35,1432914,2368481437
103年02月,食,30[含]-35,1432914,2288566178
103年02月,食,30[含]-35,1432914,1860987178
103年02月,食,30[含]-35,1432914,1331941769
103年02月,食,30[含]-35,1432914,843432616
103年02月,食,30[含]-35,1432914,330491773
103年02月,食,30[含]-35,1432914,145874523
103年02月,食,30[含]-35,1432914,64725016
103年02月,食,30[含]-35,1432914,58022111
103年02月,食,35[含]-40,1773107,15124668
103年02月,食,35[含]-40,1773107,228548055
103年02月,食,35[含]-40,1773107,960572952
103年02月,食,35[含]-40,1773107,1848257137
103年02月,食,35[含]-40,1773107,2262150808
103年02月,食,35[含]-40,1773107,2368481437
103年02月,食,35[含]-40,1773107,2288566178
103年02月,食,35[含]-40,1773107,1860987178
103年02月,食,35[含]-40,1773107,1331941769
103年02月,食,35[含]-40,1773107,843432616
103年02月,食,35[含]-40,1773107,330491773
103年02月,食,35[含]-40,1773107,145874523
103年02月,食,35[含]-40,1773107,64725016
103年02月,食,35[含]-40,1773107,58022111
103年02月,食,40[含]-45,1815644,15124668
103年02月,食,40[含]-45,1815644,228548055
103年02月,食,40[含]-45,1815644,960572952
103年02月,食,40[含]-45,1815644,1848257137
103年02月,食,40[含]-45,1815644,2262150808
103年02月,食,40[含]-45,1815644,2368481437
103年02月,食,40[含]-45,1815644,2288566178
103年02月,食,40[含]-45,1815644,1860987178
103年02月,食,40[含]-45,1815644,1331941769
103年02月,食,40[含]-45,1815644,843432616
103年02月,食,40[含]-45,1815644,330491773
103年02月,食,40[含]-45,1815644,145874523
103年02月,食,40[含]-45,1815644,64725016
103年02月,食,40[含]-45,1815644,58022111
103年02月,食,45[含]-50,1681701,15124668
103年02月,食,45[含]-50,1681701,228548055
103年02月,食,45[含]-50,1681701,960572952
103年02月,食,45[含]-50,1681701,1848257137
103年02月,食,45[含]-50,1681701,2262150808
103年02月,食,45[含]-50,1681701,2368481437
103年02月,食,45[含]-50,1681701,2288566178
103年02月,食,45[含]-50,1681701,1860987178
103年02月,食,45[含]-50,1681701,1331941769
103年02月,食,45[含]-50,1681701,843432616
103年02月,食,45[含]-50,1681701,330491773
103年02月,食,45[含]-50,1681701,145874523
103年02月,食,45[含]-50,1681701,64725016
103年02月,食,45[含]-50,1681701,58022111
103年02月,食,50[含]-55,1293934,15124668
103年02月,食,50[含]-55,1293934,228548055
103年02月,食,50[含]-55,1293934,960572952
103年02月,食,50[含]-55,1293934,1848257137
103年02月,食,50[含]-55,1293934,2262150808
103年02月,食,50[含]-55,1293934,2368481437
103年02月,食,50[含]-55,1293934,2288566178
103年02月,食,50[含]-55,1293934,1860987178
103年02月,食,50[含]-55,1293934,1331941769
103年02月,食,50[含]-55,1293934,843432616
103年02月,食,50[含]-55,1293934,330491773
103年02月,食,50[含]-55,1293934,145874523
103年02月,食,50[含]-55,1293934,64725016
103年02月,食,50[含]-55,1293934,58022111
103年02月,食,55[含]-60,889608,15124668
103年02月,食,55[含]-60,889608,228548055
103年02月,食,55[含]-60,889608,960572952
103年02月,食,55[含]-60,889608,1848257137
103年02月,食,55[含]-60,889608,2262150808
103年02月,食,55[含]-60,889608,2368481437
103年02月,食,55[含]-60,889608,2288566178
103年02月,食,55[含]-60,889608,1860987178
103年02月,食,55[含]-60,889608,1331941769
103年02月,食,55[含]-60,889608,843432616
103年02月,食,55[含]-60,889608,330491773
103年02月,食,55[含]-60,889608,145874523
103年02月,食,55[含]-60,889608,64725016
103年02月,食,55[含]-60,889608,58022111
103年02月,食,60[含]-65,566578,15124668
103年02月,食,60[含]-65,566578,228548055
103年02月,食,60[含]-65,566578,960572952
103年02月,食,60[含]-65,566578,1848257137
103年02月,食,60[含]-65,566578,2262150808
103年02月,食,60[含]-65,566578,2368481437
103年02月,食,60[含]-65,566578,2288566178
103年02月,食,60[含]-65,566578,1860987178
103年02月,食,60[含]-65,566578,1331941769
103年02月,食,60[含]-65,566578,843432616
103年02月,食,60[含]-65,566578,330491773
103年02月,食,60[含]-65,566578,145874523
103年02月,食,60[含]-65,566578,64725016
103年02月,食,60[含]-65,566578,58022111
103年02月,食,65[含]-70,221312,15124668
103年02月,食,65[含]-70,221312,228548055
103年02月,食,65[含]-70,221312,960572952
103年02月,食,65[含]-70,221312,1848257137
103年02月,食,65[含]-70,221312,2262150808
103年02月,食,65[含]-70,221312,2368481437
103年02月,食,65[含]-70,221312,2288566178
103年02月,食,65[含]-70,221312,1860987178
103年02月,食,65[含]-70,221312,1331941769
103年02月,食,65[含]-70,221312,843432616
103年02月,食,65[含]-70,221312,330491773
103年02月,食,65[含]-70,221312,145874523
103年02月,食,65[含]-70,221312,64725016
103年02月,食,65[含]-70,221312,58022111
103年02月,食,70[含]-75,98772,15124668
103年02月,食,70[含]-75,98772,228548055
103年02月,食,70[含]-75,98772,960572952
103年02月,食,70[含]-75,98772,1848257137
103年02月,食,70[含]-75,98772,2262150808
103年02月,食,70[含]-75,98772,2368481437
103年02月,食,70[含]-75,98772,2288566178
103年02月,食,70[含]-75,98772,1860987178
103年02月,食,70[含]-75,98772,1331941769
103年02月,食,70[含]-75,98772,843432616
103年02月,食,70[含]-75,98772,330491773
103年02月,食,70[含]-75,98772,145874523
103年02月,食,70[含]-75,98772,64725016
103年02月,食,70[含]-75,98772,58022111
103年02月,食,75[含]-80,41405,15124668
103年02月,食,75[含]-80,41405,228548055
103年02月,食,75[含]-80,41405,960572952
103年02月,食,75[含]-80,41405,1848257137
103年02月,食,75[含]-80,41405,2262150808
103年02月,食,75[含]-80,41405,2368481437
103年02月,食,75[含]-80,41405,2288566178
103年02月,食,75[含]-80,41405,1860987178
103年02月,食,75[含]-80,41405,1331941769
103年02月,食,75[含]-80,41405,843432616
103年02月,食,75[含]-80,41405,330491773
103年02月,食,75[含]-80,41405,145874523
103年02月,食,75[含]-80,41405,64725016
103年02月,食,75[含]-80,41405,58022111
103年02月,食,80[含]以上,33955,15124668
103年02月,食,80[含]以上,33955,228548055
103年02月,食,80[含]以上,33955,960572952
103年02月,食,80[含]以上,33955,1848257137
103年02月,食,80[含]以上,33955,2262150808
103年02月,食,80[含]以上,33955,2368481437
103年02月,食,80[含]以上,33955,2288566178
103年02月,食,80[含]以上,33955,1860987178
103年02月,食,80[含]以上,33955,1331941769
103年02月,食,80[含]以上,33955,843432616
103年02月,食,80[含]以上,33955,330491773
103年02月,食,80[含]以上,33955,145874523
103年02月,食,80[含]以上,33955,64725016
103年02月,食,80[含]以上,33955,58022111
103年03月,食,0[含]-20,11040,15577922
103年03月,食,0[含]-20,11040,253257996
103年03月,食,0[含]-20,11040,1053371812
103年03月,食,0[含]-20,11040,2067742814
103年03月,食,0[含]-20,11040,2514833090
103年03月,食,0[含]-20,11040,2534692219
