年月,類別,0[含]-20[筆數],0[含]-20[金額，新台幣],20[含]-25[筆數],20[含]-25[金額，新台幣],25[含]-30[筆數],25[含]-30[金額，新台幣],30[含]-35[筆數],30[含]-35[金額，新台幣],35[含]-40[筆數],35[含]-40[金額，新台幣],40[含]-45[筆數],40[含]-45[金額，新台幣],45[含]-50[筆數],45[含]-50[金額，新台幣],50[含]-55[筆數],50[含]-55[金額，新台幣],55[含]-60[筆數],55[含]-60[金額，新台幣],60[含]-65[筆數],60[含]-65[金額，新台幣],65[含]-70[筆數],65[含]-70[金額，新台幣],70[含]-75[筆數],70[含]-75[金額，新台幣],75[含]-80[筆數],75[含]-80[金額，新台幣],80[含]以上[筆數],80[含]以上[金額，新台幣]
103年01月,食,11424,19735674,241527,287356853,912864,1279850142,1731682,2632920544,2175747,3439299617,2256695,3744015542,2103541,3561357770,1658880,2928097746,1171728,2114146945,757042,1337749581,294047,478944788,134747,214941908,54827,86900297,44952,78367457
103年02月,食,9929,15124668,205994,228548055,765577,960572952,1432914,1848257137,1773107,2262150808,1815644,2368481437,1681701,2288566178,1293934,1860987178,889608,1331941769,566578,843432616,221312,330491773,98772,145874523,41405,64725016,33955,58022111
103年03月,食,11040,15577922,241623,253257996,870437,1053371812,1641908,2067742814,2047167,2514833090,2085952,2534692219,1918107,2395896159,1489233,1950377970,1047248,1428457491,679662,914393444,270553,349431820,120324,153144651,50261,63772980,40017,56590284
103年04月,食,10164,14507750,226732,234436554,821990,974546135,1564101,1933643572,1968782,2353659664,2015270,2426056770,1866546,2319856428,1455507,1884917346,1022889,1354807709,659438,879671977,267168,344814972,117398,147602025,48680,59476854,38981,54244404
103年05月,食,11292,16762334,254816,281057267,922908,1160481628,1736998,2267392794,2174036,2758950679,2203049,2824519075,2032050,2667731161,1578831,2205191907,1108945,1572181707,713873,1003056629,287743,392086786,125338,165784656,51817,67327351,41897,60367896
103年06月,食,12190,19183157,255101,271955915,913107,1080487735,1727690,2127749144,2180173,2623792871,2205807,2688454452,2040637,2566208059,1578746,2087834649,1100134,1475602348,707709,934630983,285588,366705293,123541,153289836,51145,64083555,41132,59140384
103年07月,食,14112,19046198,277237,289602262,996644,1153143931,1900096,2271960998,2422169,2903305692,2456563,2996165467,2299338,2887345958,1791179,2361740746,1247661,1660977840,807264,1046545706,330503,412800263,143405,179161451,59134,72357749,46284,65792981
103年08月,食,15773,22292088,297071,336568752,1073786,1365284550,2009581,2614884610,2549470,3290548772,2585020,3410658329,2427518,3292452108,1900494,2676357802,1318202,1874840282,845043,1171039075,345738,458381349,146291,191896938,60599,79803237,47879,72937145
103年09月,食,15082,20553339,267611,283023845,936837,1153444592,1767648,2154841357,2250943,2677003165,2271772,2730302458,2121270,2618891842,1669489,2168289298,1161103,1538368299,751998,986973224,313297,395682772,131946,165842594,55154,67065851,43164,61115350
103年10月,食,13888,18601822,262217,265512541,912332,1069201267,1745832,2094266447,2252463,2658501856,2266993,2700601032,2100725,2553547956,1648634,2093990667,1157018,1517533476,760809,991053963,320854,397426217,135104,165589349,56799,69512611,44597,60910895
