Acidity,Aftertaste,Aroma,Balance,Body,C1,C2,Clean.Cup,Country,Cupper.Points,Flavor,Grading,Harvest,Moisture,Owner,Species,Sweetness,Total.Cup.Points,Uniform.Cup,Uniformity
8.75,8.67,8.67,8.42,8.5,0,0,10.0,Ethiopia,8.75,8.83,"April 4th, 2015",2014,0.12,metad plc,Arabica,10.0,90.58,,10.0
8.58,8.5,8.75,8.42,8.42,0,1,10.0,Ethiopia,8.58,8.67,"April 4th, 2015",2014,0.12,metad plc,Arabica,10.0,89.92,,10.0
8.42,8.42,8.42,8.42,8.33,0,0,10.0,Guatemala,9.25,8.5,"May 31st, 2010",,0.0,grounds for health admin,Arabica,10.0,89.75,,10.0
8.42,8.42,8.17,8.25,8.5,0,2,10.0,Ethiopia,8.67,8.58,"March 26th, 2015",2014,0.11,yidnekachew dabessa,Arabica,10.0,89.0,,10.0
8.5,8.25,8.25,8.33,8.42,0,2,10.0,Ethiopia,8.58,8.5,"April 4th, 2015",2014,0.12,metad plc,Arabica,10.0,88.83,,10.0
8.5,8.42,8.58,8.33,8.25,0,1,10.0,Brazil,8.33,8.42,"September 3rd, 2013",2013,0.11,ji-ae ahn,Arabica,10.0,88.83,,10.0
8.5,8.33,8.42,8.25,8.25,0,0,10.0,Peru,8.5,8.5,"September 17th, 2012",2012,0.11,hugo valdivia,Arabica,10.0,88.75,,10.0
8.42,8.5,8.25,8.5,8.33,0,0,10.0,Ethiopia,9.0,8.33,"September 2nd, 2010",March 2010,0.03,ethiopia commodity exchange,Arabica,9.33,88.67,,10.0
8.42,8.58,8.67,8.42,8.33,0,0,10.0,Ethiopia,8.67,8.67,"September 2nd, 2010",March 2010,0.03,ethiopia commodity exchange,Arabica,9.33,88.42,,9.33
8.5,8.5,8.08,8.42,7.67,0,4,10.0,Ethiopia,8.5,8.58,"March 30th, 2015",2014,0.1,diamond enterprise plc,Arabica,10.0,88.25,,10.0
8.5,8.25,8.17,8.17,7.75,0,1,10.0,Ethiopia,8.58,8.67,"March 27th, 2015",2014,0.1,mohammed lalo,Arabica,10.0,88.08,,10.0
8.33,8.17,8.25,8.17,8.08,0,0,10.0,United States,8.5,8.42,"March 13th, 2015",2014,0.0,cqi q coffee sample representative,Arabica,10.0,87.92,,10.0
8.42,8.33,8.08,8.08,8.0,0,0,10.0,United States,8.33,8.67,"March 13th, 2015",2014,0.0,cqi q coffee sample representative,Arabica,10.0,87.92,,10.0
8.25,8.08,8.33,8.0,8.25,0,2,10.0,United States (Hawaii),8.58,8.42,"May 31st, 2010",Sept 2009 - April 2010,0.0,grounds for health admin,Arabica,10.0,87.92,,10.0
8.25,8.5,8.25,8.75,8.58,0,2,10.0,Ethiopia,8.5,8.33,"August 31st, 2010",March 2010,0.05,ethiopia commodity exchange,Arabica,9.33,87.83,,9.33
8.17,8.58,8.0,8.0,8.17,0,0,10.0,United States,8.17,8.5,"March 13th, 2015",2014,0.0,cqi q coffee sample representative,Arabica,10.0,87.58,,10.0
7.75,7.83,8.33,8.42,8.5,0,0,10.0,Indonesia,8.33,8.25,"May 31st, 2010",May-August,0.03,grounds for health admin,Arabica,10.0,87.42,,10.0
8.33,8.25,8.17,8.33,8.42,0,2,10.0,Ethiopia,8.83,8.33,"June 16th, 2010",2009/2010,0.05,ethiopia commodity exchange,Arabica,9.33,87.33,,9.33
8.17,8.08,8.42,8.0,7.92,0,0,10.0,China,8.42,8.25,"April 7th, 2016",2015,0.1,yunnan coffee exchange,Arabica,10.0,87.25,,10.0
8.17,8.0,8.17,8.33,8.08,0,8,10.0,Ethiopia,8.33,8.17,"March 25th, 2015",2014,0.0,essencecoffee,Arabica,10.0,87.25,,10.0
8.5,8.08,8.0,8.0,8.25,0,0,10.0,United States,8.17,8.25,"March 13th, 2015",2014,0.0,cqi q coffee sample representative,Arabica,10.0,87.25,,10.0
8.17,8.0,8.08,8.33,8.0,0,2,10.0,Costa Rica,8.33,8.25,"April 2nd, 2014",2014,0.11,the coffee source inc.,Arabica,10.0,87.17,,10.0
8.0,8.17,8.17,8.17,7.83,0,0,10.0,Mexico,8.58,8.25,"July 26th, 2012",2012,0.13,roberto licona franco,Arabica,10.0,87.17,,10.0
8.17,8.17,8.25,8.17,7.83,0,0,10.0,United States,8.17,8.33,"March 13th, 2015",2014,0.0,cqi q coffee sample representative,Arabica,10.0,87.08,,10.0
8.17,7.92,8.42,8.0,8.33,0,1,10.0,Ethiopia,8.08,8.17,"September 3rd, 2013",2013,0.11,ji-ae ahn,Arabica,10.0,87.08,,10.0
8.0,8.0,8.5,8.0,8.0,0,2,10.0,Brazil,7.92,8.5,"December 3rd, 2011",2011,0.12,nucoffee,Arabica,10.0,86.92,,10.0
8.17,8.08,7.83,8.17,8.17,0,2,10.0,Ethiopia,8.25,8.25,"June 16th, 2010",2009/2010,0.05,ethiopia commodity exchange,Arabica,10.0,86.92,,10.0
8.17,8.17,8.42,7.92,7.83,0,1,10.0,Uganda,8.17,8.17,"June 26th, 2014",2013,0.12,kabum trading company,Arabica,10.0,86.83,,10.0
8.0,8.08,8.17,8.0,8.08,0,3,10.0,Honduras,8.25,8.08,"May 18th, 2017",2016,0.1,bismarck castro,Arabica,10.0,86.67,,10.0
8.25,8.0,8.0,8.17,8.0,0,0,10.0,Taiwan,8.17,8.0,"May 18th, 2016",2015,0.0,"lin, che-hao krude 林哲豪",Arabica,10.0,86.58,,10.0
8.33,8.0,7.92,8.08,8.0,0,2,10.0,Nicaragua,8.0,8.25,"May 18th, 2010",,0.08,nora zeas,Arabica,10.0,86.58,,10.0
8.0,8.17,8.42,8.0,7.58,0,1,10.0,"Tanzania, United Republic Of",8.17,8.17,"September 3rd, 2013",2012,0.11,specialty coffee-korea,Arabica,10.0,86.5,,10.0
7.75,8.0,8.5,8.0,8.0,0,2,10.0,Brazil,8.0,8.17,"December 3rd, 2011",2011,0.12,nucoffee,Arabica,10.0,86.42,,10.0
8.08,8.0,8.17,8.0,7.83,0,0,10.0,Costa Rica,8.42,7.83,"December 3rd, 2015",2015/2016,0.0,francisco a mena,Arabica,10.0,86.33,,10.0
8.0,7.92,8.0,8.08,8.08,0,3,10.0,Ethiopia,8.08,8.08,"March 27th, 2015",2014,0.1,hider abamecha,Arabica,10.0,86.25,,10.0
8.25,8.0,8.08,7.92,7.92,0,1,10.0,Kenya,8.08,8.0,"May 30th, 2014",2013,0.12,daniel magu,Arabica,10.0,86.25,,10.0
7.92,8.0,8.08,7.83,7.92,1,4,10.0,United States (Hawaii),8.33,8.17,"April 6th, 2012",2012,0.0,kona pacific farmers cooperative,Arabica,10.0,86.25,,10.0
7.75,8.08,8.25,7.83,7.67,2,1,10.0,United States (Hawaii),8.25,8.42,"January 28th, 2011",2010,0.0,kona pacific farmers cooperative,Arabica,10.0,86.25,,10.0
8.08,8.08,7.92,8.17,8.08,0,2,10.0,Ethiopia,8.17,7.75,"June 17th, 2010",2009/2010,0.1,ethiopia commodity exchange,Arabica,10.0,86.25,,10.0
8.0,8.0,7.67,8.08,8.17,0,0,10.0,United States,8.08,8.17,"March 13th, 2015",2014,0.0,cqi q coffee sample representative,Arabica,10.0,86.17,,10.0
8.25,7.83,7.83,7.92,7.58,1,9,10.0,Thailand,8.42,8.33,"April 12th, 2012",2012,0.1,itdp international,Arabica,10.0,86.17,,10.0
7.75,7.92,8.17,8.0,8.33,0,2,10.0,Brazil,8.08,7.92,"January 4th, 2011",2010,0.08,jacques pereira carneiro,Arabica,10.0,86.17,,10.0
7.75,8.0,8.42,8.0,7.92,0,3,10.0,Brazil,8.17,7.92,"January 4th, 2011",2010,0.01,jacques pereira carneiro,Arabica,10.0,86.17,,10.0
8.08,7.75,8.08,7.83,7.75,0,0,10.0,Taiwan,8.42,8.17,"June 10th, 2015",2015,0.12,"lin, che-hao krude 林哲豪",Arabica,10.0,86.08,,10.0
8.0,8.0,8.08,8.08,7.83,0,2,10.0,Kenya,8.0,8.08,"January 29th, 2015",2014,0.11,jungle estate,Arabica,10.0,86.08,,10.0
8.0,8.0,8.33,8.0,7.75,0,2,10.0,Brazil,8.0,8.0,"December 3rd, 2011",2011,0.11,nucoffee,Arabica,10.0,86.08,,10.0
7.92,7.83,8.08,7.92,8.08,0,0,10.0,Uganda,8.08,8.08,"October 1st, 2014",2014,0.0,great lakes coffee uganda,Arabica,10.0,86.0,,10.0
8.08,7.83,7.75,8.17,8.08,1,1,10.0,Colombia,8.17,7.92,"March 20th, 2014",2013,0.12,lusso lab,Arabica,10.0,86.0,,10.0
8.5,7.83,7.92,7.92,7.5,0,1,10.0,Kenya,8.17,8.17,"February 6th, 2014",2013,0.11,lusso lab,Arabica,10.0,86.0,,10.0
8.08,7.83,8.25,7.92,8.0,0,0,10.0,Uganda,7.92,8.0,"February 13th, 2012",2012,0.1,afca,Arabica,10.0,86.0,,10.0
8.25,8.0,7.75,8.0,8.0,0,4,10.0,Ethiopia,7.92,8.08,"June 17th, 2010",2009/2010,0.01,ethiopia commodity exchange,Arabica,10.0,86.0,,10.0
8.0,7.75,8.33,7.83,7.75,0,0,10.0,United States (Hawaii),8.17,8.17,"May 31st, 2010",Fall 2009,0.0,grounds for health admin,Arabica,10.0,86.0,,10.0
8.08,7.92,7.92,7.83,8.08,0,3,10.0,Guatemala,8.0,8.08,"May 16th, 2016",2016,0.1,juan luis alvarado romero,Arabica,10.0,85.92,,10.0
8.08,7.92,8.17,7.75,7.83,0,0,10.0,Uganda,8.0,8.17,"June 30th, 2014",2013,0.12,kawacom uganda ltd,Arabica,10.0,85.92,,10.0
8.17,8.0,8.0,8.0,7.83,1,0,10.0,Colombia,7.92,8.0,"July 26th, 2013",2013,0.0,exportadora de cafe condor s.a,Arabica,10.0,85.92,,10.0
8.08,7.92,8.0,8.0,7.83,0,0,10.0,Panama,8.0,8.0,"October 9th, 2017",2017,0.08,gonzalo hernandez,Arabica,10.0,85.83,,10.0
8.08,7.92,7.83,7.92,8.0,0,4,10.0,Ethiopia,8.0,8.08,"April 4th, 2015",2014,0.1,ibrahim hussien speciality coffee producer &export,Arabica,10.0,85.83,,10.0
8.17,8.0,7.83,8.0,7.83,0,3,10.0,Guatemala,8.0,8.0,"July 3rd, 2012",2012,0.12,juan luis alvarado romero,Arabica,10.0,85.83,,10.0
8.33,7.83,8.0,7.83,7.83,0,1,10.0,Guatemala,8.0,8.0,"June 5th, 2012",2012,0.1,juan luis alvarado romero,Arabica,10.0,85.83,,10.0
8.17,7.83,7.83,8.0,7.92,0,7,10.0,Ethiopia,8.0,8.0,"June 23rd, 2017",2017,0.09,seid damtew coffee planataion,Arabica,10.0,85.75,,10.0
8.08,8.0,8.0,7.75,7.92,4,6,10.0,Peru,8.0,8.0,"January 22nd, 2014",2013,0.1,dane loraas,Arabica,10.0,85.75,,10.0
8.33,7.83,8.33,8.25,8.0,0,1,9.33,Papua New Guinea,7.92,8.42,"October 25th, 2012",2012,0.12,"colbran coffeelands, ltd.",Arabica,10.0,85.75,,9.33
7.92,8.0,7.92,7.83,7.75,0,3,10.0,El Salvador,8.0,8.17,"March 18th, 2013",2013,0.1,atlantic specialty coffee,Arabica,10.0,85.58,,10.0
7.75,8.0,7.83,8.17,7.92,0,0,10.0,El Salvador,7.92,8.0,"January 12th, 2013",2012,0.11,lusso lab,Arabica,10.0,85.58,,10.0
